"","sd","algorithms","lang","n_parallel","u_duration","epenthesis_rate"
"457",35,"naive_bayes","jpn",5,0,0.02
"458",35,"naive_bayes","jpn",5,1,0.22
"459",35,"naive_bayes","jpn",5,2,0.2
"460",35,"naive_bayes","jpn",5,3,0.2
"461",35,"naive_bayes","fr",1,0,0.02
"462",35,"naive_bayes","fr",1,1,0.16
"463",35,"naive_bayes","fr",1,2,0.12
"464",35,"naive_bayes","fr",1,3,0.2
"465",35,"naive_bayes","fr",2,0,0.02
"466",35,"naive_bayes","fr",2,1,0.22
"467",35,"naive_bayes","fr",2,2,0.12
"468",35,"naive_bayes","fr",2,3,0.1
"469",35,"naive_bayes","fr",3,0,0.02
"470",35,"naive_bayes","fr",3,1,0.24
"471",35,"naive_bayes","fr",3,2,0.22
"472",35,"naive_bayes","fr",3,3,0.18
"473",35,"naive_bayes","fr",4,0,0.02
"474",35,"naive_bayes","fr",4,1,0.16
"475",35,"naive_bayes","fr",4,2,0.18
"476",35,"naive_bayes","fr",4,3,0.14
"477",35,"naive_bayes","fr",5,0,0
"478",35,"naive_bayes","fr",5,1,0.32
"479",35,"naive_bayes","fr",5,2,0.1
"480",35,"naive_bayes","fr",5,3,0.2
"481",40,"viterbi","jpn",1,0,0.08
"482",40,"viterbi","jpn",1,1,0.26
"483",40,"viterbi","jpn",1,2,0.22
"484",40,"viterbi","jpn",1,3,0.28
"485",40,"viterbi","jpn",2,0,0.5
"486",40,"viterbi","jpn",2,1,0.6
"487",40,"viterbi","jpn",2,2,0.62
"488",40,"viterbi","jpn",2,3,0.74
"489",40,"viterbi","jpn",3,0,0.4
"490",40,"viterbi","jpn",3,1,0.64
"491",40,"viterbi","jpn",3,2,0.68
"492",40,"viterbi","jpn",3,3,0.58
"493",40,"viterbi","jpn",4,0,0.34
"494",40,"viterbi","jpn",4,1,0.72
"495",40,"viterbi","jpn",4,2,0.54
"496",40,"viterbi","jpn",4,3,0.72
"497",40,"viterbi","jpn",5,0,0.26
"498",40,"viterbi","jpn",5,1,0.66
"499",40,"viterbi","jpn",5,2,0.66
"500",40,"viterbi","jpn",5,3,0.64
"501",40,"viterbi","fr",1,0,0
"502",40,"viterbi","fr",1,1,0.16
"503",40,"viterbi","fr",1,2,0.3
"504",40,"viterbi","fr",1,3,0.32
"505",40,"viterbi","fr",2,0,0
"506",40,"viterbi","fr",2,1,0.42
"507",40,"viterbi","fr",2,2,0.66
"508",40,"viterbi","fr",2,3,0.58
"509",40,"viterbi","fr",3,0,0.06
"510",40,"viterbi","fr",3,1,0.36
"511",40,"viterbi","fr",3,2,0.46
"512",40,"viterbi","fr",3,3,0.58
"513",40,"viterbi","fr",4,0,0.02
"514",40,"viterbi","fr",4,1,0.34
"515",40,"viterbi","fr",4,2,0.58
"516",40,"viterbi","fr",4,3,0.54
"517",40,"viterbi","fr",5,0,0.06
"518",40,"viterbi","fr",5,1,0.56
"519",40,"viterbi","fr",5,2,0.56
"520",40,"viterbi","fr",5,3,0.66
"521",40,"naive_bayes","jpn",1,0,0.02
"522",40,"naive_bayes","jpn",1,1,0.1
"523",40,"naive_bayes","jpn",1,2,0.1
"524",40,"naive_bayes","jpn",1,3,0.04
"525",40,"naive_bayes","jpn",2,0,0
"526",40,"naive_bayes","jpn",2,1,0.1
"527",40,"naive_bayes","jpn",2,2,0.14
"528",40,"naive_bayes","jpn",2,3,0.06
"529",40,"naive_bayes","jpn",3,0,0
"530",40,"naive_bayes","jpn",3,1,0.04
"531",40,"naive_bayes","jpn",3,2,0.08
"532",40,"naive_bayes","jpn",3,3,0.1
"533",40,"naive_bayes","jpn",4,0,0
"534",40,"naive_bayes","jpn",4,1,0.14
"535",40,"naive_bayes","jpn",4,2,0.08
"536",40,"naive_bayes","jpn",4,3,0.06
"537",40,"naive_bayes","jpn",5,0,0.02
"538",40,"naive_bayes","jpn",5,1,0.14
"539",40,"naive_bayes","jpn",5,2,0.08
"540",40,"naive_bayes","jpn",5,3,0.06
"541",40,"naive_bayes","fr",1,0,0
"542",40,"naive_bayes","fr",1,1,0.12
"543",40,"naive_bayes","fr",1,2,0.06
"544",40,"naive_bayes","fr",1,3,0.08
"545",40,"naive_bayes","fr",2,0,0.02
"546",40,"naive_bayes","fr",2,1,0.08
"547",40,"naive_bayes","fr",2,2,0.12
"548",40,"naive_bayes","fr",2,3,0.1
"549",40,"naive_bayes","fr",3,0,0
"550",40,"naive_bayes","fr",3,1,0.22
"551",40,"naive_bayes","fr",3,2,0.1
"552",40,"naive_bayes","fr",3,3,0.08
"553",40,"naive_bayes","fr",4,0,0
"554",40,"naive_bayes","fr",4,1,0.08
